encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
05/14/2020 11:44:47 AM,M028,M-12,Manhattan,10,true,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/14/2020 11:23:12 AM,X113,X-02,Bronx,15,false,Approached the crowd; they ignored the employee,Playground
05/14/2020 11:21:34 AM,Q099,Q-15,Queens,10,false,Approached the crowd; they complied with instructions,Soccer field
05/14/2020 09:57:48 AM,X118,X-09,Bronx,40,false,Approached the crowd; they complied with instructions,Soccer field
05/14/2020 09:44:18 AM,B007,B-11,Brooklyn,60,false,Did not approach the crowd; the crowd remains,Walking path
05/14/2020 09:13:07 AM,B056,B-05,Brooklyn,15,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/13/2020 08:20:01 PM,Q004,Q-01,Queens,60,false,Did not approach the crowd; the crowd remains,Soccer field
05/13/2020 05:39:16 PM,B145,B-06,Brooklyn,15,true,Approached the crowd; they ignored the employee,Skate Park
05/13/2020 04:08:18 PM,R038A,R-02B,Staten Island,15,false,Approached the crowd; they ignored the employee,Handall court
05/13/2020 04:02:57 PM,R022-04,R-01,Staten Island,30,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/13/2020 03:15:21 PM,Q099-ZN17,Q-15,Queens,53,false,Did not approach the crowd; the crowd remains,Soccer field
05/13/2020 02:56:27 PM,R145,R-03,Staten Island,45,false,Did not approach the crowd; the crowd remains,Track/field area
05/13/2020 09:12:07 AM,Q099-ZN08,Q-15,Queens,10,false,Did not approach the crowd; the crowd remains,Soccer field
05/13/2020 08:47:09 AM,Q099-ZN13,Q-15,Queens,9,false,Did not approach the crowd; the crowd remains,Soccer field
05/13/2020 08:45:46 AM,Q099-ZN17,Q-15,Queens,10,false,Did not approach the crowd; the crowd remains,Soccer field
05/13/2020 08:38:12 AM,X118-ZN03,X-09,Bronx,50,false,Approached the crowd; they ignored the employee,Adult fitness equipment
05/12/2020 08:12:47 PM,Q004,Q-01,Queens,70,false,Did not approach the crowd; the crowd remains,Soccer field
05/12/2020 05:58:09 PM,Q020,Q-05A,Queens,14,false,Did not approach the crowd; the crowd remains,Baseball field
05/12/2020 05:16:13 PM,Q162E,Q-14,Queens,8,true,Approached the crowd; they ignored the employee,Handall court
05/12/2020 04:43:45 PM,B145,B-06,Brooklyn,5,true,Approached the crowd; they ignored the employee,Playground
05/12/2020 04:27:09 PM,Q162I01,Q-14,Queens,20,false,Did not approach the crowd; the crowd remains,Skate Park
05/12/2020 04:09:09 PM,Q004,Q-01,Queens,100,false,Did not approach the crowd; the crowd remains,Soccer field
05/12/2020 03:56:22 PM,X039-ZN01,X-15,Bronx,70,false,Did not approach the crowd; the crowd remains,Track/field area
