Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,31/08/2021,PI147603,50.00,TERRA FIRMA ENVIRONMENTAL LTD,S2584,Southern Dales (Craven  Lancs),Contractors (Construction),,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147603,350.00,TERRA FIRMA ENVIRONMENTAL LTD,S2584,Southern Dales (Craven  Lancs),Contractors (Construction),,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147603,350.00,TERRA FIRMA ENVIRONMENTAL LTD,S2584,Southern Dales (Craven  Lancs),Contractors (Construction),,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147603,390.00,TERRA FIRMA ENVIRONMENTAL LTD,S2584,Southern Dales (Craven  Lancs),Contractors (Construction),,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148049,616.67,CARTER TOWLER LTD,S2905,Contracts - Access Rangers,Property Rental,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147950,481.08,P V DOBSON & SONS,S2908,Contracts - Access Rangers,Vehicle Repairs and Maint,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147656,356.34,VENSON AUTOMOTIVE SOLUTIONS LTD - DD,S3089,Contracts - Access Rangers,Vehicle Repairs and Maint,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147862,120.95,ARCHER SIGNS & PANELS LTD,S3170,NPC Refurbishment,Signage and Displays,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147903,55.42,GRANDMA WILD'S,S3171,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147903,451.11,GRANDMA WILD'S,S3171,Trading Account,Retail Stock Foodstuffs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148056,902.48,GRANDMA WILD'S,S3171,Trading Account,Retail Stock Foodstuffs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PC148032,-508.95,SKYGUARD LTD,S3666,NPC General,Security,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147076,540.00,SKYGUARD LTD,S3666,NPC General,Security,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148033,840.00,SKYGUARD LTD,S3666,NPC General,Security,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148023,1567.71,HAYCOCK AND JAY ASSOCIATES LTD,S3682,Biodiversity,Contractors (Others),,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147842,41.40,SCARBOROUGH BOROUGH COUNCIL,S3756,Legal Services,Legal Expenses,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147955,49.92,HERITAGE CARDS & SOUVENIRS,S3785,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148085,360.00,HERITAGE CARDS & SOUVENIRS,S3785,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147934,158.36,ALLSTAR BUSINESS SOLUTIONS LTD,S3804,Contracts - Access Rangers,Vehicle Running Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147937,189.80,ALLSTAR BUSINESS SOLUTIONS LTD,S3804,Contracts - Access Rangers,Vehicle Running Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147935,203.93,ALLSTAR BUSINESS SOLUTIONS LTD,S3804,Contracts - Access Rangers,Vehicle Running Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147936,281.19,ALLSTAR BUSINESS SOLUTIONS LTD,S3804,Contracts - Access Rangers,Vehicle Running Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147935,65.73,ALLSTAR BUSINESS SOLUTIONS LTD,S3804,WMD 3.2 Skills for the future,Vehicle Running Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148050,10214.56,FRIENDS OF THE LAKE DISTRICT,S3858,WMD Westmorland Dales Overheads,Grants Paid,,218711,2019 - 2023,Westmorland Dales Heritage Lottery Projects
Yorkshire Dales National Park Authority,31/08/2021,PI147894,25.71,BORDER GROUP LTD,S3864,Western Dales (Cumbria),Equipment Hire,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147894,60.00,BORDER GROUP LTD,S3864,Western Dales (Cumbria),Equipment Hire,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147931,60.00,BORDER GROUP LTD,S3864,Western Dales (Cumbria),Equipment Hire,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147931,77.14,BORDER GROUP LTD,S3864,Western Dales (Cumbria),Equipment Hire,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148028,391.68,SILVERPOINT OUTDOOR LTD,S3894,Trading Account,Retail Stock Clothing VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148061,199.00,WORKING PLANET LTD,S4049,Corporate HR Staff Costs,Recruitment Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148079,199.00,WORKING PLANET LTD,S4049,Corporate HR Staff Costs,Recruitment Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147940,1620.00,REDACTED PERSONAL DATA,S4059,Southern Dales (Craven  Lancs),Equipment Hire,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147943,28.93,THE WONDER OF WOOD LTD,S4151,Northern Dales (Richmondshire),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147943,970.00,THE WONDER OF WOOD LTD,S4151,Northern Dales (Richmondshire),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147902,140.00,THE WONDER OF WOOD LTD,S4151,Pennine Bridleway,Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147902,140.00,THE WONDER OF WOOD LTD,S4151,Pennine Bridleway,Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147902,140.00,THE WONDER OF WOOD LTD,S4151,Southern Dales (Craven  Lancs),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147902,140.00,THE WONDER OF WOOD LTD,S4151,Southern Dales (Craven  Lancs),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147902,140.00,THE WONDER OF WOOD LTD,S4151,Southern Dales (Craven  Lancs),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147902,140.00,THE WONDER OF WOOD LTD,S4151,Southern Dales (Craven  Lancs),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147902,220.00,THE WONDER OF WOOD LTD,S4151,Southern Dales (Craven  Lancs),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147854,326.06,PPL PRS LTD,S4193,Dales Countryside Museum,Membership Subscriptions,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147939,32500.00,OLDHAM COUNCIL,S4424,National Trails,Grants Paid,,N/A,2020 - 2021,Pennine Bridleway bridge at Uppermill
Yorkshire Dales National Park Authority,31/08/2021,PI148063,126.30,PREMIER VANGUARD LTD,S4427,Retail Services O/H,Tools & Office Equipment,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147843,482.00,FIRST AID TRAINING PLUS,S4487,Volunteers,Training,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148094,378.83,GARDNERS BOOKS,S4535,Trading Account,Retail Stock Publications Non-VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148095,676.04,GARDNERS BOOKS,S4535,Trading Account,Retail Stock Publications Non-VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147954,108.09,LOGO AND STITCH,S4622,Trading Account,Retail Stock Clothing VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147811,17.04,AMEY T/A ENTERPRISE MANAGED SERVICES LTD,S4734,Contracts - Access Rangers,Waste Collection,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147812,17.04,AMEY T/A ENTERPRISE MANAGED SERVICES LTD,S4734,Contracts - Access Rangers,Waste Collection,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147811,34.08,AMEY T/A ENTERPRISE MANAGED SERVICES LTD,S4734,WMD Westmorland Dales Overheads,Waste Collection,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147979,88.00,JOMANDA LIMITED,S4767,Trading Account,Retail Stock Clothing Non-VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147979,426.90,JOMANDA LIMITED,S4767,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148096,18.00,FLOWBIRD SMART CITY UK LIMITED,S4821,Car Parks,Equipment Repairs and Maint,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148096,132.00,FLOWBIRD SMART CITY UK LIMITED,S4821,Car Parks,Equipment Repairs and Maint,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148031,2.00,T W RELPH & SONS LTD,S4833,Western Dales (Cumbria),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148031,17.00,T W RELPH & SONS LTD,S4833,Western Dales (Cumbria),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148030,70.00,T W RELPH & SONS LTD,S4833,Western Dales (Cumbria),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148030,97.00,T W RELPH & SONS LTD,S4833,Western Dales (Cumbria),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148030,98.00,T W RELPH & SONS LTD,S4833,Western Dales (Cumbria),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148030,220.00,T W RELPH & SONS LTD,S4833,Western Dales (Cumbria),Materials,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148026,270.00,OUTSTANDING MAP DISTRIBUTORS LTD,S4842,Trading Account,Retail Stock Maps Non-VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147864,691.60,OUTSTANDING MAP DISTRIBUTORS LTD,S4842,Trading Account,Retail Stock Maps Non-VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148027,1830.70,OUTSTANDING MAP DISTRIBUTORS LTD,S4842,Trading Account,Retail Stock Maps Non-VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148053,395.20,LANDSCAPE & LIGHT PHOTOGRAPHY - ANDY AUGHEY,S4928,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PC148035,-179.15,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PC148034,-45.66,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PC148037,-28.21,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PC148036,-10.23,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148045,10.80,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148047,11.16,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148040,11.43,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148046,38.37,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148041,39.37,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148044,39.37,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148043,46.56,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148042,189.95,CORONA ENERGY RETAIL 4 LTD,S5021,Office Accomodation,Gas/ Wood Chip,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148060,82.50,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,S5053,Farmed Land,Tools & Office Equipment,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148060,360.00,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,S5053,Farmed Land,Tools & Office Equipment,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148060,55.00,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,S5053,IT Development,Tools & Office Equipment,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148060,240.00,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,S5053,IT Development,Tools & Office Equipment,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147959,513.00,SASS & BELLE BY RJB STONE,S5098,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147867,236.60,TMP (UK) LTD,S5155,Definitive Map,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147870,109.64,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147869,144.76,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147933,153.00,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147978,187.00,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148029,264.52,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147868,478.60,TMP (UK) LTD,S5155,Development Management,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148025,223.68,SKIPTON BODY REPAIR CENTRE LTD,S5181,Contracts - Access Rangers,Vehicle Repairs and Maint,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147960,165.00,BEAU BUSINESS MEDIA LIMITED,S5245,Dales Countryside Museum,Advertising,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147909,4000.00,NECTAR CREATIVE,S5249,Outreach,Contractors (Others),,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148083,192.40,BEACON DESIGNS,S5267,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147908,35.17,CITRON HYGIENE UK LTD,S5495,Dales Countryside Museum,Waste Collection,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148084,159.18,DELIVER NET,S5710,Retail Services O/H,Tools & Office Equipment,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148057,8.25,DELIVER NET,S5710,Toilets,Consumables,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147907,16.50,DELIVER NET,S5710,Toilets,Consumables,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147907,16.50,DELIVER NET,S5710,Toilets,Consumables,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147907,60.00,DELIVER NET,S5710,Toilets,Consumables,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148057,80.00,DELIVER NET,S5710,Toilets,Consumables,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148057,233.40,DELIVER NET,S5710,Toilets,Consumables,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147907,466.80,DELIVER NET,S5710,Toilets,Consumables,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148039,450.00,REDACTED PERSONAL DATA,S5790,Dales Countryside Museum,Event Leaders,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148038,1200.00,REDACTED PERSONAL DATA,S5790,Dales Countryside Museum,Event Leaders,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147945,230.00,MICO LIGHTING LTD,S5793,Maintenance NPC's,Premises Maintenance,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148099,27.51,SOPHIE ALLPORT LTD,S5825,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148097,183.33,SOPHIE ALLPORT LTD,S5825,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148098,185.83,SOPHIE ALLPORT LTD,S5825,Trading Account,Retail Stock Souvenirs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147949,15.00,COMMUNITY ACTION BRADFORD & DISTRICT,S5891,Corporate HR Staff Costs,Recruitment Costs,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147872,18.10,ANGLIAN WATER BUSINESS T/A WAVE UTILITIES,S5902,Car Parks,Water,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147873,18.10,ANGLIAN WATER BUSINESS T/A WAVE UTILITIES,S5902,Car Parks,Water,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147893,26.28,ANGLIAN WATER BUSINESS T/A WAVE UTILITIES,S5902,Car Parks,Water,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147888,378.69,ANGLIAN WATER BUSINESS T/A WAVE UTILITIES,S5902,Dales Countryside Museum,Water,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148048,300.00,JR & SL PRATT ,S5909,Farmed Land,Consultancy,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148101,631.80,1 TREE CARDS LTD,S5956,Trading Account,Retail Stock Posters and Postcards VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148065,10.53,SPRINGFIELD TRAINING,S5976,Training,Training,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI147892,240.00,VISITS UNLIMITED CIC,S6000,Outreach,Vehicle Hire,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148082,9500.00,TINYROCKET LTD,S6007,Communications,IT-Websites,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148102,280.00,REDACTED PERSONAL DATA,S6009,Trading Account,Retail Stock Maps Non-VAT,,,,
Yorkshire Dales National Park Authority,31/08/2021,PI148102,560.00,REDACTED PERSONAL DATA,S6009,Trading Account,Retail Stock Posters and Postcards VAT,,,,
